name1,name2,date,case_day_minus_0,case_day_minus_1,case_day_minus_2,case_day_minus_3,case_day_minus_4,case_day_minus_5,case_day_minus_6,case_day_minus_7,case_day_minus_8,case_day_minus_9
Adygea_Republic__Russia,XXX,2020.02.18,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.17,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.16,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.15,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.14,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.13,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.12,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.11,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.10,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.09,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.08,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.07,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.06,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.05,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.04,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.03,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.02,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.01,0,0,0,0,0,0,0,0,0,0
Altai_Krai__Russia,XXX,2020.10.13,15508,15338,15169,15007,14853,14711,14577,14448,14334,14230
Altai_Krai__Russia,XXX,2020.10.12,15338,15169,15007,14853,14711,14577,14448,14334,14230,14125
Altai_Krai__Russia,XXX,2020.10.11,15169,15007,14853,14711,14577,14448,14334,14230,14125,14022
Altai_Krai__Russia,XXX,2020.10.10,15007,14853,14711,14577,14448,14334,14230,14125,14022,13921
Altai_Krai__Russia,XXX,2020.10.09,14853,14711,14577,14448,14334,14230,14125,14022,13921,13823
Altai_Krai__Russia,XXX,2020.10.08,14711,14577,14448,14334,14230,14125,14022,13921,13823,13728
Altai_Krai__Russia,XXX,2020.10.07,14577,14448,14334,14230,14125,14022,13921,13823,13728,13635
Altai_Krai__Russia,XXX,2020.10.06,14448,14334,14230,14125,14022,13921,13823,13728,13635,13546
Altai_Krai__Russia,XXX,2020.10.05,14334,14230,14125,14022,13921,13823,13728,13635,13546,13459
Altai_Krai__Russia,XXX,2020.10.04,14230,14125,14022,13921,13823,13728,13635,13546,13459,13378
Altai_Krai__Russia,XXX,2020.10.03,14125,14022,13921,13823,13728,13635,13546,13459,13378,13298
Altai_Krai__Russia,XXX,2020.10.02,14022,13921,13823,13728,13635,13546,13459,13378,13298,13217
Altai_Krai__Russia,XXX,2020.10.01,13921,13823,13728,13635,13546,13459,13378,13298,13217,13138
Altai_Krai__Russia,XXX,2020.09.30,13823,13728,13635,13546,13459,13378,13298,13217,13138,13060
Altai_Krai__Russia,XXX,2020.09.29,13728,13635,13546,13459,13378,13298,13217,13138,13060,12987
Altai_Krai__Russia,XXX,2020.09.28,13635,13546,13459,13378,13298,13217,13138,13060,12987,12914
Altai_Krai__Russia,XXX,2020.09.27,13546,13459,13378,13298,13217,13138,13060,12987,12914,12846
